battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range_tenge,price_category
1681,0,1.69,0,12,0,32,0.85,188,6,14,1408,2163,5221,14,6,14,0,1,1,137841,Budget
1748,1,2.3,0,20,0,256,0.75,146,8,24,1533,2167,8680,15,8,23,0,1,1,461350,High-end
2292,0,3.15,1,25,0,256,1.07,130,8,21,3201,3564,12392,18,10,26,1,1,1,658024,Flagship
2753,0,2.79,1,21,1,512,1.07,136,8,23,2669,3285,12224,18,11,28,1,1,1,636206,Flagship
2187,1,2.59,0,19,0,256,0.94,160,8,18,2014,3252,8413,15,8,21,1,1,1,388160,High-end
3356,0,3.09,0,34,1,256,0.98,150,8,20,1662,4568,14969,16,9,25,1,1,1,453366,High-end
2212,0,2.25,1,20,0,256,0.92,141,8,19,1402,3233,6010,17,9,22,0,1,1,320085,Mid-range
1909,1,2.72,0,22,1,128,0.83,141,8,21,1638,3720,5847,17,9,19,1,1,1,313197,Mid-range
3472,0,2.85,1,25,1,512,1.13,142,8,28,3132,4225,12117,16,10,35,1,1,1,743551,Flagship
2607,1,2.47,1,38,1,512,1.07,131,8,37,2081,4290,11910,19,11,20,1,1,1,603785,Flagship
2532,0,3.02,1,21,1,512,0.99,140,8,30,3443,2833,13533,17,9,25,1,1,1,498620,High-end
1888,1,2.23,1,21,0,256,0.9,160,8,15,1390,3652,8888,17,8,19,0,1,1,452321,High-end
1793,0,1.8,1,6,1,128,0.79,188,4,14,815,1591,4639,13,8,14,1,1,1,227732,Mid-range
720,0,1.72,1,3,0,8,0.6,212,4,5,605,855,2524,11,5,13,0,1,1,71858,Ultra-budget
1309,0,2.37,1,9,1,128,0.84,187,6,16,1279,2049,5647,12,7,19,1,1,1,283999,Mid-range
1163,1,1.78,0,6,1,64,0.82,153,4,7,1513,2554,5370,15,8,21,1,1,1,191632,Budget
3470,0,3.06,0,34,0,256,0.88,139,8,33,3726,4822,11366,16,9,32,0,1,1,721606,Flagship
2021,1,2.23,0,22,0,128,0.93,167,8,17,2006,2902,5818,17,8,18,0,1,1,369822,High-end
3119,1,2.82,0,40,1,256,1.01,145,8,31,3706,4617,13966,16,9,28,1,1,1,627416,Flagship
2220,0,2.11,0,15,1,128,0.78,169,8,17,1223,3604,5268,16,9,21,1,1,1,257135,Mid-range
2647,0,2.79,0,26,1,512,1.11,141,8,40,1739,4723,9288,16,9,27,1,1,1,800218,Flagship
2292,1,2.34,0,24,0,128,0.91,168,8,24,1208,2463,8529,16,9,28,0,1,1,500483,Flagship
735,1,1.11,1,0,1,4,0.7,181,2,8,856,1714,990,9,5,13,1,1,1,102958,Budget
1832,1,1.74,1,11,1,128,0.6,180,4,6,1558,2547,3927,12,7,12,1,1,1,182835,Budget
1763,1,2.07,1,6,0,32,0.88,153,4,9,1074,1402,3813,14,8,21,0,1,1,141386,Budget
2412,1,2.28,1,16,1,256,0.96,148,8,25,1319,3018,4212,17,8,19,1,1,1,256034,Mid-range
1508,1,2.25,1,6,1,128,0.87,159,6,8,1607,1983,4193,15,6,21,1,1,1,259376,Mid-range
694,1,1.17,1,4,0,32,0.63,229,4,1,682,1802,2647,10,6,16,0,1,1,152037,Budget
849,1,1.26,0,4,0,32,0.83,181,4,7,1138,1481,2100,8,7,12,0,1,1,98136,Ultra-budget
1028,1,2.17,1,12,0,128,0.66,181,4,14,1734,1912,5045,13,7,16,1,1,1,218879,Mid-range
819,0,1.73,1,2,0,4,0.81,226,4,7,562,1213,2221,8,6,13,0,1,1,149120,Budget
681,1,1.74,1,1,0,32,0.82,213,2,8,995,1711,2894,12,6,18,0,1,0,57156,Ultra-budget
2083,0,2.87,0,36,0,256,0.93,143,8,21,3676,4153,13027,19,10,32,0,1,1,709865,Flagship
1557,0,2.0,0,9,1,128,0.83,189,4,10,1368,1534,2402,15,6,12,1,1,1,143333,Budget
3329,0,2.71,0,31,0,512,1.16,145,8,37,1574,4770,10594,17,9,32,0,1,1,699180,Flagship
1611,0,1.76,1,6,1,128,0.8,169,4,13,1639,2357,2904,12,6,22,1,1,1,138555,Budget
1514,0,2.26,0,6,0,128,0.71,156,4,9,1699,2317,4243,13,6,22,1,1,1,186863,Budget
1003,1,1.2,1,0,1,8,0.9,191,2,7,1178,865,1969,8,7,11,1,1,1,86202,Ultra-budget
711,0,1.64,0,2,0,32,0.64,203,2,6,495,725,2150,8,4,15,0,1,1,104448,Budget
828,1,1.72,1,4,0,4,0.54,193,4,6,836,657,692,10,4,9,1,1,1,108149,Budget
1310,1,1.88,0,11,1,128,0.88,165,6,6,1708,1663,3961,15,6,16,1,1,1,168220,Budget
2006,0,2.47,1,11,0,256,0.92,146,8,19,1177,2838,8709,17,9,24,1,1,1,324467,Mid-range
1483,1,1.67,0,9,1,32,0.65,151,4,8,1547,1458,3376,13,8,13,1,1,1,212283,Mid-range
3006,0,2.42,0,29,0,256,0.92,142,8,21,3916,4643,10053,18,9,24,1,1,1,549736,Flagship
2048,0,2.2,1,15,0,256,0.72,160,8,14,1782,3006,7934,15,8,20,0,1,1,454755,High-end
1080,0,1.25,1,3,0,4,0.85,189,4,4,779,819,1400,8,7,17,0,1,1,83377,Ultra-budget
2351,0,2.61,1,40,0,256,1.05,151,8,34,2304,4282,13201,18,9,27,0,1,1,766319,Flagship
778,1,1.42,1,1,0,8,0.84,210,4,6,1098,1316,1877,8,4,17,1,0,1,77812,Ultra-budget
731,1,1.23,0,4,0,32,0.77,211,2,5,1097,876,1958,9,5,16,1,1,1,115487,Budget
2131,0,2.65,0,21,1,128,0.77,165,8,17,1763,2107,6133,17,8,25,1,1,1,309102,Mid-range
1067,0,1.87,1,6,1,32,0.61,177,6,13,1325,1858,4552,13,7,15,1,1,1,213166,Mid-range
1030,1,1.47,0,3,0,4,0.59,191,2,3,620,863,1941,12,5,17,0,1,1,82191,Ultra-budget
1146,0,1.36,1,5,1,32,0.53,226,2,1,553,812,1352,8,5,13,1,1,1,99547,Ultra-budget
1437,1,1.61,0,8,0,128,0.73,190,6,9,1047,1999,6101,13,6,15,0,1,1,301616,Mid-range
1629,1,2.29,0,12,0,32,0.67,186,6,7,1853,2119,2950,13,8,17,0,1,1,168635,Budget
3088,0,2.49,0,21,0,512,1.11,131,8,29,3073,4628,9621,16,9,34,1,1,1,479243,High-end
1725,0,1.98,1,7,1,64,0.86,154,6,10,1143,1803,3377,13,6,15,1,1,1,192683,Budget
1642,1,2.38,1,5,1,64,0.9,181,6,13,952,1833,4870,14,8,13,1,1,1,214496,Mid-range
2399,1,2.72,1,19,0,256,0.75,148,8,16,2019,2041,8746,16,8,22,0,1,1,420041,High-end
859,1,1.72,1,5,0,4,0.66,180,2,2,801,1684,1248,10,6,17,0,1,1,84848,Ultra-budget
823,0,1.11,0,4,0,32,0.77,200,4,6,829,1891,2454,12,4,18,1,1,1,97690,Ultra-budget
2131,1,3.12,1,30,0,256,1.18,156,8,34,2591,4674,11063,19,9,32,1,1,1,546067,Flagship
2123,0,2.85,1,20,0,512,0.85,148,8,28,3064,3119,15956,17,9,26,1,1,1,569855,Flagship
1670,1,2.17,0,10,0,64,0.62,185,4,15,1839,1719,5833,12,8,15,1,1,1,201073,Mid-range
1586,0,2.34,1,9,0,64,0.7,171,6,12,790,2279,4721,14,6,17,0,1,1,229461,Mid-range
1102,0,1.63,1,1,0,32,0.7,229,4,3,718,1220,2190,9,6,12,0,1,1,123005,Budget
1394,0,2.21,1,12,1,64,0.76,155,4,9,1430,1921,3208,12,8,16,1,1,1,254621,Mid-range
940,1,1.18,1,4,0,4,0.8,220,2,6,544,847,2230,12,4,10,0,0,1,65354,Ultra-budget
2951,1,2.69,0,32,0,256,0.94,147,8,36,3489,4734,8937,16,11,21,0,1,1,445236,High-end
1519,0,1.95,1,10,0,64,0.77,153,6,9,1627,2257,6123,12,8,21,0,1,1,263251,Mid-range
794,1,1.06,0,0,1,16,0.75,221,4,1,681,707,1886,11,4,8,1,1,1,129644,Budget
2820,0,2.71,0,26,0,256,0.92,160,8,36,3720,2811,8801,16,9,34,0,1,1,711880,Flagship
2210,0,2.06,0,21,0,128,0.75,147,8,13,1611,3148,6448,16,8,24,1,1,1,306639,Mid-range
1859,0,2.09,1,18,0,256,0.9,150,8,12,1256,3727,4879,17,9,21,0,1,1,387060,High-end
1946,0,2.32,1,11,0,256,0.77,166,8,13,1871,2249,6264,16,9,25,0,1,1,259522,Mid-range
3138,1,2.81,1,31,1,512,1.06,159,8,37,3561,3295,13072,17,11,34,1,1,1,793870,Flagship
2093,1,2.6,0,16,1,256,0.92,140,8,18,1861,2498,5192,15,9,18,1,1,1,379860,High-end
2144,0,2.22,1,14,1,128,0.79,164,8,21,1282,2860,8016,15,9,19,1,1,1,340352,Mid-range
2259,0,2.85,1,30,1,256,0.81,155,8,36,3580,3370,9412,19,10,33,1,1,1,666814,Flagship
1796,1,2.31,1,22,0,256,0.83,154,8,16,1565,2708,7665,16,8,25,0,1,1,291650,Mid-range
1175,0,1.46,0,3,1,16,0.77,191,2,3,758,1666,1747,11,5,15,1,0,1,59379,Ultra-budget
1184,0,2.3,0,10,0,128,0.78,158,6,16,1698,1625,4752,12,7,13,0,1,1,157095,Budget
831,1,1.61,1,0,1,8,0.77,226,2,0,997,1797,2040,12,6,10,1,1,0,47479,Ultra-budget
1427,1,2.05,1,5,0,128,0.87,177,6,6,1054,2339,4297,14,8,17,1,1,1,275677,Mid-range
1214,1,1.68,0,10,0,32,0.84,158,4,7,1335,1686,4924,13,6,16,1,1,1,269033,Mid-range
965,0,1.31,1,4,1,16,0.88,225,4,0,876,1268,2361,11,4,8,1,1,1,136473,Budget
3397,0,2.93,0,23,1,512,0.99,146,8,24,1847,3090,15753,18,10,26,1,1,1,569178,Flagship
2214,0,2.77,0,18,0,128,0.71,148,8,24,1177,2500,4399,17,9,24,0,1,1,471320,High-end
2266,0,2.64,0,11,0,128,0.93,169,8,13,1132,3658,7706,17,9,23,0,1,1,332625,Mid-range
1458,0,2.26,0,10,0,64,0.76,150,6,15,1046,2264,2250,14,6,12,0,1,1,191732,Budget
2036,0,3.12,1,25,1,512,0.81,138,8,20,3064,4047,12199,17,9,21,1,1,1,614738,Flagship
893,1,1.73,0,5,1,16,0.54,226,2,3,771,1918,3032,12,4,10,1,1,1,104915,Budget
755,1,1.58,1,0,0,32,0.77,229,4,3,1174,858,1998,9,7,8,0,1,0,45390,Ultra-budget
1157,1,1.31,1,4,0,4,0.61,207,2,4,673,1136,1600,12,5,10,0,1,1,95317,Ultra-budget
2618,0,3.0,1,32,1,256,1.1,131,8,25,2559,5041,8563,18,10,20,1,1,1,792581,Flagship
803,0,1.69,0,0,0,16,0.89,211,2,4,549,1146,2116,8,6,8,0,1,1,35897,Ultra-budget
951,1,1.27,0,0,1,16,0.7,183,4,4,1061,1287,1103,9,5,10,1,0,1,61296,Ultra-budget
1018,1,1.32,1,5,1,4,0.84,209,2,5,717,1864,638,11,6,16,1,1,1,101427,Budget
1642,0,1.93,0,9,0,32,0.77,168,4,5,1911,1699,2495,14,7,14,0,1,1,169888,Budget
854,0,1.24,0,5,1,32,0.74,196,2,2,951,1495,2164,10,5,10,1,1,1,66238,Ultra-budget
964,0,1.54,1,4,1,32,0.52,213,2,7,919,1424,2540,11,5,9,1,1,1,104474,Budget
618,0,1.35,0,1,1,4,0.89,201,4,6,1125,937,2246,12,6,14,1,1,1,137557,Budget
782,1,1.51,1,0,0,32,0.57,192,4,2,723,1656,2836,10,5,10,0,1,1,91065,Ultra-budget
652,1,1.33,1,2,0,16,0.7,218,2,0,927,1358,1945,8,4,12,0,1,1,94486,Ultra-budget
755,0,1.04,1,2,0,16,0.88,215,2,2,963,1498,714,8,7,18,0,1,1,85062,Ultra-budget
1189,0,2.37,1,11,0,128,0.76,177,4,15,1050,1861,4850,15,7,12,0,1,1,264651,Mid-range
3170,0,3.12,0,31,0,256,1.05,133,8,34,2331,4372,8934,18,10,34,1,1,1,486249,High-end
1965,1,2.34,0,18,0,256,0.74,167,8,16,1707,2125,6900,17,8,19,0,1,1,363293,High-end
2932,0,2.86,1,34,1,256,0.94,138,8,23,2439,3963,10942,17,10,21,1,1,1,585641,Flagship
903,1,1.73,0,3,0,32,0.73,209,2,2,1239,1819,1402,12,5,11,0,1,1,48663,Ultra-budget
3163,0,2.78,0,34,0,256,0.85,138,8,31,2040,4064,10289,18,9,35,0,1,1,641833,Flagship
1622,0,2.63,1,13,0,128,0.73,146,8,23,1468,2578,4477,16,9,24,0,1,1,264263,Mid-range
757,1,1.47,0,4,0,32,0.78,194,4,4,1256,783,2647,10,7,10,0,1,1,105291,Budget
804,0,1.23,1,3,1,16,0.88,213,2,5,1280,1718,983,8,7,18,1,1,1,85692,Ultra-budget
831,0,1.62,1,2,1,16,0.52,206,2,2,836,1862,1471,12,4,9,1,0,1,50663,Ultra-budget
3312,0,3.01,0,40,0,256,0.92,146,8,36,2884,3989,12395,19,9,27,0,1,1,621435,Flagship
1765,1,2.55,1,24,0,256,0.79,152,8,21,1244,2786,8407,16,8,22,0,1,1,262992,Mid-range
2642,1,3.18,0,21,0,512,0.85,141,8,23,3388,4696,13267,18,11,23,0,1,1,553784,Flagship
1078,0,1.08,0,2,0,4,0.9,191,2,1,1133,702,2227,9,4,11,0,0,0,52560,Ultra-budget
638,1,1.17,1,3,0,16,0.86,180,2,2,1256,1757,1540,11,6,11,0,1,1,98584,Ultra-budget
708,0,1.67,1,3,1,16,0.87,213,4,6,728,686,1818,9,5,15,1,1,1,145790,Budget
2640,0,2.69,1,31,0,512,1.11,160,8,33,2788,3921,13271,16,10,27,0,1,1,763087,Flagship
2380,1,3.19,0,29,1,512,0.92,150,8,40,2225,4433,13167,19,10,23,1,1,1,639666,Flagship
883,0,1.49,1,4,0,4,0.78,197,2,5,1066,666,1373,8,4,18,1,0,1,78464,Ultra-budget
2506,0,2.45,1,20,1,128,0.71,154,8,23,1494,2106,4164,17,8,18,1,1,1,398896,High-end
1728,1,1.84,0,10,1,32,0.82,183,6,13,1349,1919,4692,13,8,17,1,1,1,161863,Budget
3184,0,2.94,1,31,0,256,0.9,160,8,23,3537,3467,13783,17,9,20,0,1,1,526722,Flagship
1058,0,1.0,1,0,1,4,0.58,209,4,1,1242,828,1087,9,4,13,1,1,1,53005,Ultra-budget
2958,0,3.04,0,35,1,512,0.97,134,8,28,1941,4154,15878,17,10,29,1,1,1,611691,Flagship
2526,0,2.51,1,23,1,128,0.95,162,8,23,1343,2371,6781,16,9,24,1,1,1,407541,High-end
655,1,1.06,0,1,0,4,0.75,190,4,3,836,1698,2940,10,7,9,0,1,1,149940,Budget
667,0,1.09,0,0,0,16,0.82,202,2,0,1026,967,2084,9,5,17,0,1,1,137857,Budget
954,1,1.55,0,2,1,4,0.68,229,4,1,914,1563,2502,11,6,14,1,0,1,74931,Ultra-budget
1966,1,2.19,1,18,1,128,0.87,141,8,17,1603,3804,7546,17,8,18,1,1,1,453316,High-end
2654,0,3.19,0,39,1,256,1.11,154,8,39,3881,4623,14143,18,11,23,1,1,1,784006,Flagship
1706,1,2.55,1,18,0,256,0.76,142,8,21,1555,3028,5216,15,9,19,0,1,1,403252,High-end
722,1,1.0,1,4,0,32,0.61,230,4,6,1151,1245,1983,12,6,8,0,1,0,55694,Ultra-budget
2076,0,2.72,1,24,1,128,0.84,151,8,25,1961,3280,7731,17,9,25,1,1,1,430867,High-end
1728,0,2.08,0,19,0,256,0.89,155,8,20,1475,3028,7997,16,9,21,0,1,1,355723,High-end
1479,0,1.78,0,5,0,128,0.65,161,4,11,1806,1412,2918,14,7,16,0,1,1,137672,Budget
2181,1,2.79,0,33,0,256,0.91,155,8,39,3531,5048,10885,19,9,33,0,1,1,765676,Flagship
2078,0,2.43,1,15,1,128,0.7,141,8,21,1558,2595,4318,17,9,23,1,1,1,418546,High-end
2805,1,2.58,0,37,0,256,0.91,148,8,23,2107,3360,9909,16,10,23,1,1,1,614520,Flagship
903,1,1.75,0,2,0,32,0.53,180,4,1,1207,928,868,8,4,9,0,1,1,105923,Budget
1181,0,2.02,0,9,0,128,0.71,153,6,7,1037,2146,4789,15,8,19,0,1,1,158535,Budget
3035,0,3.1,0,29,0,512,1.02,152,8,21,1845,5016,13408,19,11,30,0,1,1,663018,Flagship
1694,1,1.86,0,7,0,64,0.68,183,6,8,1606,2515,6050,15,8,15,0,1,1,153002,Budget
1512,0,1.8,0,5,0,32,0.66,150,4,8,1068,2435,5856,12,7,15,0,1,1,246842,Mid-range
2367,0,2.88,1,26,0,256,0.84,157,8,28,3488,4959,9620,17,11,27,1,1,1,735864,Flagship
1505,0,2.29,1,9,0,64,0.8,173,4,5,792,1642,4102,12,7,17,0,1,1,254160,Mid-range
1049,1,1.84,0,8,0,128,0.88,190,6,6,1567,1793,2353,15,8,16,1,1,1,238804,Mid-range
1986,1,2.04,1,18,0,128,0.72,144,8,16,1935,3459,7156,16,9,19,0,1,1,325190,Mid-range
1403,1,1.65,0,12,1,128,0.79,189,4,9,1227,2260,4996,13,7,18,1,1,1,206353,Mid-range
1177,1,1.89,1,7,0,128,0.65,166,6,8,754,2538,5348,12,8,15,1,1,1,131447,Budget
895,1,1.48,0,2,1,16,0.8,229,2,7,876,1787,984,11,5,17,1,0,0,42207,Ultra-budget
2421,0,2.36,1,19,0,128,0.98,148,8,18,1419,3448,4366,16,9,22,1,1,1,316322,Mid-range
1029,0,1.01,0,1,1,8,0.86,216,4,3,623,1644,3053,10,6,10,1,0,1,60996,Ultra-budget
791,1,1.16,1,1,0,4,0.76,229,4,6,575,1749,1842,9,4,8,1,1,1,115738,Budget
1277,1,2.1,0,7,0,64,0.73,163,4,6,1470,1757,3955,13,8,15,0,1,1,218970,Mid-range
2205,1,2.74,1,32,1,512,0.94,152,8,31,3102,3297,13202,16,11,32,1,1,1,558409,Flagship
2212,1,2.41,0,12,1,256,0.77,170,8,21,1620,3034,8351,17,9,22,1,1,1,453506,High-end
570,1,1.76,0,4,1,16,0.72,218,2,1,611,653,1491,12,4,9,1,1,1,107568,Budget
1821,0,2.05,1,23,0,128,0.9,166,8,16,1245,3231,6468,17,8,27,1,1,1,302503,Mid-range
3146,1,2.56,0,29,0,512,1.13,136,8,23,3329,2822,12045,17,10,21,1,1,1,653692,Flagship
2403,0,2.64,1,29,0,256,0.96,130,8,26,3266,4819,14643,17,11,25,0,1,1,584236,Flagship
1280,0,1.82,1,8,1,128,0.71,178,4,14,1444,2478,5908,14,6,19,1,1,1,129254,Budget
1988,0,2.16,0,22,0,128,0.71,159,8,16,1872,2976,6303,16,8,24,0,1,1,494231,High-end
1691,0,2.65,1,18,0,128,0.92,142,8,22,2004,1940,8917,16,8,28,1,1,1,367637,High-end
1960,1,2.67,1,23,0,128,0.73,144,8,17,1601,3478,5846,15,8,27,0,1,1,342993,Mid-range
3341,1,2.95,0,30,1,256,1.19,153,8,34,2470,3045,13467,18,9,26,1,1,1,648321,Flagship
2897,0,2.63,0,24,0,256,0.92,160,8,37,2924,4452,13657,16,11,26,1,1,1,590376,Flagship
1047,0,1.01,1,2,0,32,0.64,192,4,5,932,1110,2392,10,7,11,0,1,0,42021,Ultra-budget
2877,1,3.14,1,40,0,512,1.07,132,8,38,3921,3081,13068,17,10,25,0,1,1,480718,High-end
1573,1,1.73,1,9,0,128,0.75,154,4,12,1520,2102,4568,15,8,19,0,1,1,284317,Mid-range
1150,1,1.39,0,0,0,16,0.76,215,4,3,968,795,2634,11,6,15,1,1,1,113301,Budget
881,0,1.25,0,0,0,32,0.55,199,2,8,905,1429,1805,10,5,9,0,1,1,150566,Budget
1738,0,2.29,1,12,0,64,0.88,158,6,9,1418,1984,2502,13,7,20,0,1,1,227879,Mid-range
1164,0,1.17,1,5,1,32,0.6,186,2,3,603,1076,2866,8,7,8,1,0,1,51282,Ultra-budget
1591,1,1.67,1,6,0,32,0.7,172,4,12,1291,1928,5195,12,6,13,0,1,1,294528,Mid-range
968,0,1.04,0,2,0,8,0.7,198,2,8,486,836,2558,12,7,8,0,1,1,90544,Ultra-budget
1771,0,2.02,1,10,0,64,0.88,163,6,7,997,2486,3620,14,8,20,0,1,1,232567,Mid-range
662,0,1.05,1,2,1,4,0.77,221,4,7,1062,1490,1914,10,6,14,1,1,1,117695,Budget
1711,0,2.16,0,12,0,64,0.78,156,6,12,1671,2003,3704,14,6,15,0,1,1,251817,Mid-range
2481,0,2.25,1,22,1,128,0.77,159,8,15,1936,2560,6958,15,8,22,1,1,1,301649,Mid-range
2094,1,2.63,0,37,0,512,0.8,147,8,33,1879,3130,11070,19,10,20,1,1,1,527976,Flagship
2029,1,2.75,1,15,0,128,0.71,142,8,12,2100,2534,8592,17,9,18,1,1,1,316815,Mid-range
3352,0,2.99,0,21,0,512,0.9,159,8,29,2268,5101,14307,17,11,21,0,1,1,459439,High-end
851,1,1.47,0,4,0,4,0.6,226,4,4,636,1018,1266,8,6,18,0,0,1,66289,Ultra-budget
1981,0,2.7,1,13,0,128,0.94,141,8,21,1615,3739,5507,15,9,23,0,1,1,281976,Mid-range
1115,1,1.88,0,5,0,64,0.89,179,6,8,1000,1312,3179,12,7,12,1,1,1,145682,Budget
2349,0,2.5,1,24,1,256,0.71,140,8,20,1505,3425,9073,15,9,23,1,1,1,467533,High-end
1408,0,1.75,0,10,0,32,0.71,156,6,7,1862,2022,2553,14,8,18,1,1,1,263452,Mid-range
2438,0,2.19,0,17,0,128,0.77,169,8,21,1452,2845,7784,16,8,22,0,1,1,313143,Mid-range
1671,1,1.88,0,11,1,32,0.85,154,4,12,1223,2046,2865,12,8,19,1,1,1,242183,Mid-range
882,1,1.59,0,3,0,16,0.82,204,2,6,1130,1124,893,10,6,10,1,1,1,112328,Budget
1047,1,2.37,0,12,0,32,0.84,178,6,14,1871,1643,4552,14,6,14,0,1,1,115226,Budget
1121,1,1.8,1,6,0,128,0.79,152,6,8,1847,2016,4542,14,7,18,0,1,1,273356,Mid-range
722,0,1.19,0,5,0,16,0.63,193,4,5,521,1547,524,12,7,12,0,1,1,112310,Budget
2581,0,2.95,1,38,0,512,0.94,144,8,23,3504,3275,13659,19,11,25,1,1,1,646631,Flagship
2202,0,2.72,0,18,0,256,0.98,155,8,12,1878,3800,8269,16,9,25,0,1,1,420782,High-end
2016,1,2.5,1,25,0,128,1.0,156,8,21,1903,3729,4128,15,9,18,0,1,1,424580,High-end
1563,0,2.38,1,8,0,32,0.61,155,6,12,1122,2134,2610,12,8,15,0,1,1,263009,Mid-range
1830,1,2.75,0,16,0,256,0.71,152,8,25,1575,2861,4510,17,8,18,1,1,1,438226,High-end
1316,1,1.63,0,6,1,128,0.71,162,4,11,1889,2328,5822,12,7,21,1,1,1,142066,Budget
634,0,1.57,1,4,0,4,0.61,221,4,6,1027,982,2880,8,4,17,0,1,1,123649,Budget
3459,1,2.89,1,31,1,512,0.82,150,8,30,2940,4261,8593,17,9,28,1,1,1,608987,Flagship
1280,1,2.15,0,11,0,64,0.78,158,4,7,762,2324,3927,15,6,17,1,1,1,145912,Budget
638,0,1.78,0,4,0,4,0.59,216,2,5,1129,948,2671,8,4,9,0,1,1,130291,Budget
3249,1,3.05,0,40,0,512,1.09,136,8,28,3019,4033,11243,16,9,33,0,1,1,735218,Flagship
899,1,1.64,1,5,0,32,0.54,208,2,0,1108,1878,2796,9,4,8,0,1,1,122203,Budget
1880,1,2.01,0,24,0,128,0.74,141,8,23,1352,2586,6668,17,9,27,0,1,1,349601,Mid-range
3428,0,2.73,1,28,0,256,1.13,157,8,32,2186,4648,11880,18,11,31,0,1,1,774720,Flagship
2963,0,2.82,0,32,1,512,1.04,153,8,39,2888,3081,15628,18,10,22,1,1,1,573163,Flagship
2199,1,2.64,1,19,1,128,0.99,147,8,24,1969,2410,8327,16,9,27,1,1,1,400055,High-end
856,1,1.33,0,3,1,8,0.67,218,2,1,1016,1553,1651,9,5,11,1,1,1,135128,Budget
2213,1,2.61,1,14,1,256,0.96,143,8,13,1316,3007,6870,15,8,19,1,1,1,388965,High-end
2636,0,2.78,1,24,0,512,1.0,132,8,38,3863,5052,13158,17,11,27,0,1,1,586803,Flagship
2297,0,2.93,1,28,1,512,0.98,138,8,23,3987,4278,12708,19,9,33,1,1,1,501373,Flagship
1432,0,1.83,1,9,0,64,0.65,169,4,14,1145,2007,2611,15,8,20,1,1,1,186502,Budget
2356,1,2.53,1,34,0,256,0.86,137,8,39,3614,2814,12613,19,11,21,0,1,1,682244,Flagship
1144,0,1.75,1,10,1,128,0.85,161,4,6,1674,1638,3137,15,7,21,1,1,1,152147,Budget
812,1,1.4,1,3,1,32,0.62,220,2,1,1038,1858,2342,10,5,14,1,0,1,72251,Ultra-budget
1682,1,2.5,1,24,0,256,0.9,167,8,24,1866,3825,7743,15,8,22,0,1,1,477336,High-end
931,1,1.71,1,4,0,16,0.71,202,2,6,1052,665,1442,12,5,14,1,1,1,74757,Ultra-budget
1202,0,2.06,1,6,0,64,0.63,151,4,5,900,2332,4940,14,7,19,0,1,1,182726,Budget
1150,1,1.71,1,4,0,16,0.63,228,4,8,723,1677,2342,8,4,13,0,1,1,118251,Budget
2412,0,2.97,1,27,0,512,0.95,147,8,39,3587,3788,11280,17,11,31,1,1,1,537824,Flagship
1008,0,1.77,1,5,0,4,0.84,213,2,6,603,1466,2227,11,6,10,0,0,0,56115,Ultra-budget
1733,0,2.44,1,18,0,256,0.88,147,8,16,1220,3755,7818,17,9,24,1,1,1,487846,High-end
1251,0,2.18,1,8,1,128,0.81,164,4,8,884,1931,5672,15,8,15,1,1,1,162436,Budget
1562,1,1.71,0,9,1,32,0.87,190,6,12,1081,2209,3605,14,8,13,1,1,1,224462,Mid-range
935,0,1.22,0,3,0,8,0.8,201,2,1,1163,1810,2026,8,4,18,0,0,1,61874,Ultra-budget
1546,1,2.13,1,6,1,64,0.63,171,4,5,1686,1739,4228,15,8,18,1,1,1,173480,Budget
1095,0,1.17,1,1,0,8,0.64,221,2,0,714,1225,1082,11,7,10,1,1,1,88344,Ultra-budget
1623,0,2.4,0,12,0,128,0.69,185,6,11,1313,1775,4853,13,6,19,0,1,1,150029,Budget
1735,1,2.04,1,8,0,128,0.84,178,6,7,1161,2277,4107,14,6,13,1,1,1,249436,Mid-range
1107,1,2.09,1,6,0,128,0.71,175,6,10,1680,1309,4923,14,7,20,0,1,1,196764,Budget
2231,1,2.69,1,20,0,256,0.87,170,8,15,1913,1935,9114,16,9,28,0,1,1,287170,Mid-range
3126,0,2.52,1,34,0,256,1.18,152,8,37,3401,2732,16316,18,9,24,0,1,1,632469,Flagship
1868,0,2.74,1,25,1,128,0.96,158,8,20,1837,2344,6765,15,9,22,1,1,1,267386,Mid-range
2411,0,2.56,0,21,0,256,0.93,163,8,24,2146,3606,7938,16,9,25,0,1,1,278585,Mid-range
1250,1,2.04,0,12,0,128,0.62,177,6,9,1673,2368,5918,12,8,20,1,1,1,229776,Mid-range
1369,0,1.66,1,9,1,64,0.61,173,6,16,1428,2086,2735,15,6,22,1,1,1,209156,Mid-range
629,1,1.3,1,4,0,8,0.61,218,2,3,1199,1480,1423,12,5,9,0,0,1,69422,Ultra-budget
2921,0,2.61,0,23,0,256,0.98,150,8,26,2251,4977,13662,19,9,31,0,1,1,508922,Flagship
2456,1,2.22,0,24,0,256,0.72,158,8,15,1429,2869,6321,16,8,25,0,1,1,339439,Mid-range
1703,1,2.19,1,8,1,128,0.69,183,4,14,1628,1582,2443,14,6,17,1,1,1,284614,Mid-range
2383,1,2.72,0,10,1,256,0.89,145,8,18,1643,2658,5138,15,9,26,1,1,1,332689,Mid-range
2016,0,2.51,1,22,0,128,0.86,164,8,19,1981,3196,7909,15,8,18,0,1,1,449829,High-end
